ii,Pair,Constant Return,Constant Num of Trades,Sliding Window Return,SW Num of Trades,Lagged Return,Lagged Num of Trades,Granger Causality Return,Granger Causality Num of Trades,Kalman Filter Return,KF Num of Trades
1,0,-100,3,-100,4,-100,2,-100,2,-100,3
1,1,-100,3,-100,4,-100,2,-100,2,-100,3
1,2,-100,3,-100,4,-100,2,-100,3,-100,3
1,3,-100,3,-100,4,-100,2,-100,3,-100,3
1,4,-100,3,-100,4,-100,2,-100,4,-100,3
1,5,-100,3,-100,5,-100,2,-100,2,-100,3
1,6,-100,4,-100,3,-100,2,-100,2,-100,2
5,0,-100,72,-100,133,-100,226,-100,144,-71.74,146
5,1,-100,67,-100,104,-100,162,-100,30,-100,160
5,2,-100,79,-100,138,-100,199,-100,132,-63.0,122
5,3,-100,71,-100,135,-100,165,-100,112,-100,121
5,4,-100,63,-100,135,-100,174,-100,129,-63.53,139
5,5,-100,67,-100,114,-100,147,-100,100,-82.69,144
5,6,-100,37,-79.95,56,-100,70,-100,8,-100,35
10,0,-100,241,-84.18,307,-7.58,323,-12.93,176,41.56,146
10,1,-100,216,-100,227,-100,291,-64.38,197,-9.68,167
10,2,-85.38,201,-69.57,249,-5.49,244,-2.07,161,44.66,122
10,3,-100,231,-100,240,-83.09,272,-60.77,195,2.63,133
10,4,-90.71,217,-78.03,267,-20.31,264,-16.19,187,47.61,139
10,5,-100,221,-84.32,201,-58.41,226,-52.0,183,8.88,144
10,6,-66.18,69,-49.48,56,-55.36,70,-47.22,34,-40.92,67
25,0,-26.61,261,11.82,307,105.22,323,52.85,176,113.49,146
25,1,-84.23,336,-45.63,264,-24.38,294,-8.47,197,44.18,167
25,2,-22.62,201,11.27,249,81.12,244,73.99,161,112.59,122
25,3,-72.61,287,-36.95,243,-17.69,272,-4.56,195,51.08,133
25,4,-21.44,217,9.05,267,67.77,264,59.91,187,111.02,139
25,5,-67.38,265,-27.36,201,4.31,226,6.61,183,65.1,144
25,6,-50.76,69,-30.66,56,-36.36,70,-33.27,34,-22.39,67
50,0,-1.11,261,43.27,307,142.72,323,79.2,176,135.02,146
50,1,-63.31,336,-23.47,264,-2.26,294,9.63,197,60.25,167
50,2,-1.86,201,39.28,249,113.61,244,98.61,161,132.72,122
50,3,-55.17,287,-16.94,243,4.9,272,16.24,195,70.22,133
50,4,1.25,217,39.14,267,99.9,264,87.51,187,135.26,139
50,5,-49.54,265,-9.55,201,27.0,226,26.63,183,85.12,144
50,6,-44.92,69,-25.08,56,-29.07,70,-28.24,34,-16.58,67
75,0,6.76,261,51.86,307,152.08,323,84.38,176,139.81,146
75,1,-57.21,336,-17.71,264,3.72,294,14.03,197,62.57,167
75,2,4.41,201,46.24,249,119.75,244,103.29,161,136.6,122
75,3,-49.42,287,-11.8,243,10.04,272,20.54,195,73.3,133
75,4,9.24,217,46.68,267,107.71,264,93.96,187,140.48,139
75,5,-43.5,265,-3.46,201,31.49,226,29.58,183,88.5,144
75,6,-42.55,69,-22.9,56,-26.58,70,-26.54,34,-14.34,67
100,0,10.78,261,56.21,307,157.62,323,87.05,176,142.23,146
100,1,-53.48,336,-14.07,264,7.76,294,16.53,197,65.04,167
100,2,7.65,201,50.46,249,124.73,244,106.11,161,138.86,122
100,3,-46.86,287,-8.9,243,11.59,272,23.24,195,75.58,133
100,4,12.6,217,51.06,267,111.6,264,96.88,187,142.85,139
100,5,-40.42,265,-0.86,201,34.21,226,32.24,183,90.84,144
100,6,-41.38,69,-21.81,56,-25.34,70,-25.69,34,-13.22,67