std,Pair,Constant Return,Constant Num of Trades,Sliding Window Return,SW Num of Trades,Lagged Return,Lagged Num of Trades,Granger Causality Return,Granger Causality Num of Trades,Kalman Filter Return,KF Num of Trades
0.1,0,5.44,360,29.28,661,66.29,687,27.32,275,83.01,228
0.1,1,-54.34,397,-83.7,660,-77.28,653,-53.15,388,-14.99,307
0.1,2,5.83,454,-2.1,634,43.6,619,38.37,300,89.13,236
0.1,3,-67.51,535,-70.51,572,-73.24,604,-44.9,375,-14.05,301
0.1,4,11.14,375,10.06,759,58.61,669,24.75,296,71.83,227
0.1,5,-53.44,396,-75.16,587,-68.27,593,-49.4,337,-24.99,328
0.1,6,-15.76,72,-82.0,213,-76.2,198,-19.34,68,-6.12,84

0.5,0,11.77,723,-15.81,1223,104.48,1185,112.9,550,241.96,378
0.5,1,-100,832,-100,920,-100,936,-69.01,650,60.2,456
0.5,2,9.19,688,-0.88,1105,124.82,1025,121.82,630,295.01,396
0.5,3,-93.51,794,-100,944,-92.35,1063,-65.18,691,37.63,425
0.5,4,26.01,826,-16.12,1243,112.45,1213,77.38,538,244.51,391
0.5,5,-95.02,837,-100,854,-100,905,-33.67,503,90.57,388
0.5,6,-37.47,124,-96.69,359,-84.14,301,-4.86,56,-39.65,150

1,0,-21.41,675,-1.59,864,129.7,865,100.55,586,164.34,442
1,1,-100,791,-100,814,-93.81,1022,-53.14,641,-10.31,505
1,2,-21.23,535,7.04,777,150.19,721,129.49,497,184.32,404
1,3,-100,497,-100,657,-74.92,872,-33.21,550,1.9,436
1,4,-5.26,689,15.54,799,156.04,822,126.53,558,190.11,460
1,5,-100,533,-100,612,-69.44,785,-32.21,500,37.38,408
1,6,-53.08,108,-66.08,169,-46.79,125,-29.43,70,-41.59,158

1.5,0,5.7,365,48.67,447,144.27,476,136.99,272,178.36,179
1.5,1,-100,408,-63.97,509,-30.62,504,9.68,293,68.75,221
1.5,2,-6.09,302,22.37,402,115.76,391,137.89,250,171.74,147
1.5,3,-71.49,389,-58.55,453,-27.34,449,8.71,290,79.79,166
1.5,4,-12.11,324,38.58,428,128.86,426,149.59,273,176.14,201
1.5,5,-100,312,-51.69,402,-2.83,379,31.86,259,88.52,175
1.5,6,-42.58,77,-40.18,87,-39.6,89,-19.7,35,-18.52,102

1.75,0,-10.35,288,38.26,342,141.77,353,102.91,192,175.37,153
1.75,1,-67.13,358,-29.23,293,-7.71,323,19.73,213,74.13,178
1.75,2,-2.51,225,33.15,277,115.65,270,116.07,180,167.95,133
1.75,3,-59.62,309,-21.28,268,-1.49,294,34.38,211,88.24,145
1.75,4,-3.72,241,41.37,294,92.24,291,111.0,201,146.99,152
1.75,5,-54.88,287,-14.02,225,14.77,250,31.62,200,103.61,152
1.75,6,-47.31,76,-26.89,67,-40.81,76,-32.41,37,-22.66,74

2,0,2.11,226,44.05,271,90.62,268,57.21,141,108.12,116
2,1,-41.61,245,7.67,165,30.12,184,6.93,144,57.28,125
2,2,-8.64,191,45.26,190,90.81,202,80.59,144,98.06,106
2,3,-48.82,228,5.81,160,24.92,178,33.74,154,57.92,121
2,4,8.74,206,45.91,190,85.04,201,76.4,149,96.82,125
2,5,-27.79,192,10.78,138,32.9,147,18.78,138,69.22,125
2,6,-37.31,65,-22.0,49,-24.93,54,-33.93,31,0.99,53

3,0,2.59,54,28.73,102,26.55,83,43.3,51,27.46,51
3,1,-5.71,64,21.12,49,18.19,46,32.22,60,23.33,60
3,2,1.95,61,20.39,56,22.55,64,36.13,52,21.34,52
3,3,-10.22,73,12.31,46,11.0,48,26.88,55,12.46,58
3,4,4.65,67,32.37,57,28.98,64,42.22,60,26.45,57
3,5,-6.49,53,20.89,39,18.45,39,36.14,51,26.67,57
3,6,-1.72,13,-4.74,20,-3.19,25,4.73,5,12.01,16